road_name,road_type_raw,road_category,road_length_meters,latitude,longitude
,residential,Inner Road,42.025217973769784,16.54869095,80.64377535
,residential,Inner Road,24.915409824261125,16.54879315,80.64348
,residential,Inner Road,90.35209260938566,16.5483765,80.64343925
,residential,Inner Road,38.32914665702496,16.54926505,80.64126089999999
,residential,Inner Road,44.69723640019672,16.549111699999997,80.64161580000001
,residential,Inner Road,148.6171445919441,16.54979965984779,80.64170506723389
,residential,Inner Road,193.9939883764792,16.548373035295928,80.64110131747374
,residential,Inner Road,32.00516009230833,16.5493697,80.64431505
,residential,Inner Road,29.025232612756728,16.549447,80.6408943
,residential,Inner Road,10.334411172162675,16.549362549999998,80.64105655
,residential,Inner Road,171.495219870818,16.54865853348197,80.64074128061331
,residential,Inner Road,44.896164023246975,16.54957085,80.64416745000001
,residential,Inner Road,32.00516009230833,16.5493697,80.64431505
,residential,Inner Road,39.940932460550265,16.54966925,80.64444205000001
,residential,Inner Road,20.146609633323312,16.549549300000002,80.64068990000001
,residential,Inner Road,29.025232612756728,16.549447,80.6408943
,residential,Inner Road,44.92574348953828,16.549693769317997,80.64086213537229
,residential,Inner Road,19.7920061479556,16.5496245,80.64051979999999
,residential,Inner Road,20.146609633323312,16.549549300000002,80.64068990000001
,residential,Inner Road,19.7920061479556,16.5496245,80.64051979999999
,residential,Inner Road,27.000209443965794,16.549708949474354,80.64031880464728
,residential,Inner Road,63.466053208979915,16.54992509791409,80.64054579461677
,residential,Inner Road,75.81734728569609,16.54995365,80.64220835
,residential,Inner Road,150.9652537572116,16.55037868038525,80.64036329358605
,residential,Inner Road,27.000209443965794,16.549708949474354,80.64031880464728
,residential,Inner Road,48.36126009218472,16.5498516,80.6433381
,residential,Inner Road,47.162902220957314,16.549702949999997,80.64375820000001
,residential,Inner Road,27.352269599835832,16.549881,80.64360124999999
,residential,Inner Road,118.89110759885509,16.549318192479806,80.64349998201618
,residential,Inner Road,39.940932460550265,16.54966925,80.64444205000001
,residential,Inner Road,44.33357311851101,16.549820949999997,80.64404805000002
,residential,Inner Road,44.92574348953828,16.549693769317997,80.64086213537229
,residential,Inner Road,27.352269599835832,16.549881,80.64360124999999
,residential,Inner Road,63.466053208979915,16.54992509791409,80.64054579461677
,residential,Inner Road,43.17843543022832,16.5503394,80.64216669999999
,residential,Inner Road,46.116613174759266,16.55017755,80.64254995
,residential,Inner Road,77.48676257740357,16.5505813,80.6425057
,residential,Inner Road,75.81734728569609,16.54995365,80.64220835
,residential,Inner Road,53.09389937485361,16.55051495,80.64175399999999
,residential,Inner Road,56.28601928835887,16.550848350000003,80.64163275
,residential,Inner Road,80.07565880060729,16.55076465679068,80.64118621291706
,residential,Inner Road,77.48676257740357,16.5505813,80.6425057
,residential,Inner Road,60.650647544579826,16.55066205,80.64209795
,residential,Inner Road,56.28601928835887,16.550848350000003,80.64163275
,residential,Inner Road,258.49793680375734,16.552623533533612,80.62904837297135
,unclassified,Inner Road,112.57971285263422,16.56966676927105,80.6462277546652
,unclassified,Inner Road,594.94907765273,16.566741760763932,80.64586478571488
,tertiary,Main Road,465.465505350468,16.56928904303353,80.64830758437799
,tertiary,Main Road,1302.805594463478,16.568197940416095,80.64011735571319
,tertiary,Main Road,465.465505350468,16.569289043033532,80.64830758437797
,tertiary,Main Road,1196.3102104663926,16.568608252365134,80.6559738233857
,"['unclassified', 'residential']",Inner Road,680.6315184835959,16.56715165949908,80.64916589546348
,unclassified,Inner Road,730.3876856151637,16.572578260425384,80.65128887113491
,unclassified,Inner Road,1331.8627085683972,16.574144903242463,80.64421150082974
,unclassified,Inner Road,112.57971285263422,16.56966676927105,80.64622775466519
,unclassified,Inner Road,321.25674926928735,16.570856066303826,80.64506711519869
,residential,Inner Road,74.39274136444118,16.56491055681725,80.63031884230443
,residential,Inner Road,51.82110814326394,16.5654284691154,80.62950468222371
,residential,Inner Road,108.83732463625793,16.56551225,80.6319666
,residential,Inner Road,27.251497772604523,16.565276349999998,80.63023555000001
,residential,Inner Road,74.39274136444118,16.564910556817253,80.63031884230443
,residential,Inner Road,17.047656050103146,16.56531253996438,80.63034814857706
,residential,Inner Road,27.251497772604523,16.565276349999998,80.63023555000001
,residential,Inner Road,40.29893042348713,16.56552765,80.6303774
,residential,Inner Road,17.047656050103146,16.56531253996438,80.63034814857706
,residential,Inner Road,15.124160614244671,16.56538460828311,80.63023689637042
,residential,Inner Road,15.124160614244671,16.56538460828311,80.63023689637042
,residential,Inner Road,66.23385040418312,16.56552115241094,80.62988312367115
,residential,Inner Road,74.0312884809137,16.56564448806005,80.63009398706713
,residential,Inner Road,36.38233666645312,16.5655769213709,80.62934795847147
,residential,Inner Road,792.4315839167313,16.563358755415077,80.62870202980099
,residential,Inner Road,78.12152957121128,16.565661320416226,80.63123500433164
,residential,Inner Road,20.15168880117063,16.565490178379957,80.63087716287912
,residential,Inner Road,593.3559072531503,16.56379483008594,80.63314269269198
,residential,Inner Road,34.79391015353878,16.56564675,80.6292163
,residential,Inner Road,66.23385040418312,16.56552115241094,80.62988312367115
,residential,Inner Road,21.596483507808728,16.565684794708492,80.62950814758153
,residential,Inner Road,51.82110814326394,16.5654284691154,80.62950468222371
,residential,Inner Road,40.29893042348713,16.56552765,80.6303774
,residential,Inner Road,86.48566184852673,16.566042950000003,80.63063135
,residential,Inner Road,36.21899057173848,16.565764718209582,80.63029811110933
,residential,Inner Road,40.674853559534824,16.56561323578247,80.63062238424267
,residential,Inner Road,21.596483507808728,16.565684794708492,80.62950814758153
,residential,Inner Road,16.397420166976072,16.565758903858264,80.62934755535166
,residential,Inner Road,36.38233666645312,16.5655769213709,80.62934795847147
,residential,Inner Road,41.743617753726504,16.5658742,80.62910275
,residential,Inner Road,34.79391015353878,16.56564675,80.6292163
,residential,Inner Road,16.397420166976072,16.565758903858264,80.62934755535166
,residential,Inner Road,108.83732463625793,16.56551225,80.6319666
,residential,Inner Road,46.66110437034258,16.565884231531463,80.63176594611151
,residential,Inner Road,78.12152957121128,16.565661320416226,80.63123500433163
,residential,Inner Road,87.50148262510675,16.566186015928217,80.63032643772881
,residential,Inner Road,32.21322276683134,16.5658922345612,80.6300060318329
,residential,Inner Road,36.21899057173848,16.565764718209582,80.63029811110933
,secondary,Main Road,11.765235115747956,16.5658201,80.62878224999999
,residential,Inner Road,78.09592122066044,16.56601652186686,80.6284956791864
,secondary,Main Road,15.790865455504335,16.56590697761169,80.6288744182934
,residential,Inner Road,89.01772834588562,16.566309944005553,80.63005543195436
,residential,Inner Road,30.257567077592448,16.566009921050217,80.62973990942608
,residential,Inner Road,32.21322276683134,16.5658922345612,80.6300060318329
,residential,Inner Road,41.743617753726504,16.5658742,80.62910275
,secondary,Main Road,15.508389686375276,16.566007071965544,80.62897746679374
,secondary,Main Road,15.790865455504335,16.56590697761169,80.6288744182934
,secondary,Main Road,28.185687917655002,16.5661493,80.6291188
,residential,Inner Road,23.81198323418693,16.566114849999998,80.62893020000001
,secondary,Main Road,15.508389686375276,16.566007071965544,80.62897746679374
,residential,Inner Road,46.657892374370505,16.566153399999997,80.6294116
,residential,Inner Road,89.90763799360897,16.566431027315662,80.62979577865674
